Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	KL	BacktrackIters	Time
85	321.6004	40.48486	389.21848	288.5104	1000.0	28.09537	8.320586	48.39843	-19.382294	344000	-1.1205673e-08	237.33844	-0.05382974	-34.574814	0.009399738	0.0	403.7414643764496
86	318.19434	60.779358	367.19003	214.15288	1000.0	29.091343	6.242621	47.379814	-8.812379	348000	7.152557e-09	328.22568	-0.05138754	-38.08261	0.009349581	0.0	408.26056003570557
87	321.29755	79.25788	407.65207	214.79091	1000.0	29.342535	7.2285957	46.235374	-10.207613	352000	-1.1324882e-09	340.38782	-0.057496864	-38.964172	0.009498733	0.0	413.1516115665436
88	246.27023	146.61073	387.46225	21.887548	1000.0	28.01851	9.40618	51.20351	-16.389488	356000	7.867813e-09	482.0473	-0.053424843	-69.32498	0.009579713	0.0	417.9711117744446
89	384.80872	100.23444	493.3427	229.72118	1000.0	26.251747	10.198594	49.1736	-16.762037	360000	3.671646e-08	534.7302	-0.054750618	-130.10498	0.0094016455	0.0	422.91260266304016
90	299.93668	44.74703	337.9441	227.78033	1000.0	34.16653	9.852875	56.41518	-14.9333105	364000	9.23872e-09	388.69788	-0.053653397	-80.844574	0.009435921	0.0	427.79461550712585
91	284.8025	98.665146	444.38873	199.59967	1000.0	28.31938	8.720947	52.21533	-9.338015	368000	-2.5749207e-08	375.66608	-0.05371368	-41.895264	0.009497167	0.0	432.5138826370239
92	266.4779	137.33122	464.22208	118.830894	1000.0	26.892483	9.485202	51.44718	-15.045234	372000	1.9550324e-08	508.41006	-0.05568908	-65.13919	0.009424048	0.0	437.2262225151062
93	271.31738	58.965267	354.3595	206.25833	1000.0	26.136316	10.647946	53.381306	-13.552915	376000	3.71933e-08	362.9122	-0.05233971	-54.092255	0.009440357	0.0	441.90496158599854
94	348.26328	52.10713	390.63663	259.27258	1000.0	28.194145	9.499039	53.469837	-11.703052	380000	-2.4199485e-08	382.3399	-0.05378921	-69.95523	0.00943821	0.0	446.0993514060974
95	444.13812	129.1071	566.6416	248.26617	1000.0	34.129375	7.9308558	52.536964	-10.248158	384000	1.7642975e-08	504.07236	-0.055159125	-112.22394	0.009404486	0.0	450.77637004852295
96	319.2062	108.54407	497.76434	215.96149	1000.0	39.017033	9.359059	60.446503	-9.98628	388000	-4.696846e-08	396.43427	-0.05194322	-138.09143	0.0094648395	0.0	455.28615283966064
